Date,Open,High,Low,Close,Volume,Adj Close,sym
2016-04-29,666.0,669.97998,654.0,659.590027,10310700,659.590027,AMZN
2016-05-02,663.919983,685.5,662.030029,683.849976,6578500,683.849976,AMZN
2016-05-03,677.359985,680.299988,670.429993,671.320007,4923400,671.320007,AMZN
2016-05-04,662.590027,674.0,662.140015,670.900024,4635500,670.900024,AMZN
2016-05-05,673.309998,676.48999,656.0,659.090027,4884100,659.090027,AMZN
2016-05-06,656.049988,676.950012,656.01001,673.950012,4347200,673.950012,AMZN
2016-05-09,673.950012,686.97998,671.409973,679.75,3982200,679.75,AMZN
2016-05-10,694.0,704.549988,693.5,703.070007,6105600,703.070007,AMZN
2016-05-11,705.789978,719.0,701.650024,713.22998,7338200,713.22998,AMZN
2016-05-12,717.380005,722.450012,711.51001,717.929993,5048200,717.929993,AMZN
2016-05-13,714.640015,719.25,706.51001,709.919983,4763400,709.919983,AMZN
2016-05-16,710.130005,713.25,700.280029,710.659973,5432900,710.659973,AMZN
2016-05-17,709.900024,714.469971,693.909973,695.27002,5121400,695.27002,AMZN
2016-05-18,689.559998,702.539978,688.76001,697.450012,4283200,697.450012,AMZN
2016-05-19,691.880005,699.400024,689.559998,698.52002,3025600,698.52002,AMZN
2016-05-20,701.049988,707.23999,700.0,702.799988,2916200,702.799988,AMZN
2016-05-23,704.25,706.0,696.419983,696.75,2595100,696.75,AMZN
2016-05-24,698.01001,707.5,698.0,704.200012,3033800,704.200012,AMZN
2016-05-25,708.0,710.859985,705.52002,708.349976,3267700,708.349976,AMZN
2016-05-26,708.330017,715.0,707.289978,714.909973,2446700,714.909973,AMZN
2016-05-27,715.0,716.599976,711.099976,712.23999,2246400,712.23999,AMZN
2016-05-31,712.330017,724.22998,711.320007,722.789978,3618300,722.789978,AMZN
2016-06-01,720.900024,726.429993,718.219971,719.440002,3263100,719.440002,AMZN
2016-06-02,720.969971,728.280029,715.5,728.23999,3026600,728.23999,AMZN
2016-06-03,726.73999,727.0,718.429993,725.539978,3367300,725.539978,AMZN
2016-06-06,726.5,731.5,724.419983,726.72998,2704800,726.72998,AMZN
2016-06-07,729.890015,730.0,720.549988,723.73999,2732500,723.73999,AMZN
2016-06-08,726.400024,729.419983,721.599976,726.640015,2223400,726.640015,AMZN
2016-06-09,723.099976,728.909973,722.299988,727.650024,2170300,727.650024,AMZN
2016-06-10,722.349976,724.97998,714.210022,717.909973,3425700,717.909973,AMZN
2016-06-13,714.01001,721.98999,711.159973,715.23999,3352200,715.23999,AMZN
2016-06-14,712.330017,720.809998,712.27002,719.299988,2506900,719.299988,AMZN
2016-06-15,722.0,722.559998,713.349976,714.26001,2709400,714.26001,AMZN
2016-06-16,712.049988,718.0,705.299988,717.51001,3098000,717.51001,AMZN
2016-06-17,718.190002,718.200012,699.179993,706.390015,5897800,706.390015,AMZN
2016-06-20,713.5,721.309998,710.809998,714.01001,3677200,714.01001,AMZN
2016-06-21,715.719971,718.400024,712.719971,715.820007,2137500,715.820007,AMZN
2016-06-22,716.580017,717.0,707.570007,710.599976,2260500,710.599976,AMZN
2016-06-23,715.5,722.119995,712.5,722.080017,2825000,722.080017,AMZN
2016-06-24,693.0,712.530029,692.200012,698.960022,7632500,698.960022,AMZN
2016-06-27,692.01001,696.820007,682.119995,691.359985,5568000,691.359985,AMZN
2016-06-28,700.0,708.0,698.169983,707.950012,4037000,707.950012,AMZN
2016-06-29,715.75,719.5,713.539978,715.599976,3070100,715.599976,AMZN
2016-06-30,717.200012,719.369995,712.539978,715.619995,2855100,715.619995,AMZN
2016-07-01,717.320007,728.0,716.539978,725.679993,2920400,725.679993,AMZN
2016-07-05,722.799988,729.559998,719.609985,728.099976,2431400,728.099976,AMZN
2016-07-06,725.710022,737.77002,722.580017,737.609985,3938200,737.609985,AMZN
2016-07-07,739.330017,739.549988,731.630005,736.570007,2945800,736.570007,AMZN
2016-07-08,740.140015,746.099976,738.0,745.809998,3429200,745.809998,AMZN
2016-07-11,750.0,755.900024,747.0,753.780029,3195300,753.780029,AMZN
2016-07-12,756.859985,757.340027,740.330017,748.210022,5623700,748.210022,AMZN
2016-07-13,746.76001,756.869995,741.25,742.630005,4142300,742.630005,AMZN
2016-07-14,748.859985,749.039978,739.02002,741.200012,2390500,741.200012,AMZN
2016-07-15,746.549988,746.549988,734.049988,735.440002,3121400,735.440002,AMZN
2016-07-18,735.48999,741.599976,728.719971,736.070007,2954900,736.070007,AMZN
2016-07-19,732.5,743.330017,732.309998,739.950012,2216800,739.950012,AMZN
2016-07-20,744.0,746.25,740.700012,745.719971,2214000,745.719971,AMZN
2016-07-21,747.5,749.359985,742.789978,744.429993,2317100,744.429993,AMZN
2016-07-22,747.789978,751.280029,743.530029,744.859985,2277700,744.859985,AMZN
2016-07-25,746.549988,748.5,735.349976,739.609985,2679300,739.609985,AMZN
2016-07-26,742.710022,743.130005,732.75,735.590027,2529700,735.590027,AMZN
2016-07-27,737.969971,740.940002,733.859985,736.669983,2913100,736.669983,AMZN
2016-07-28,745.97998,753.359985,739.700012,752.609985,7617600,752.609985,AMZN
2016-07-29,765.0,766.0,755.0,758.809998,6777100,758.809998,AMZN
