Date,Open,High,Low,Close,Volume,Adj Close,sym
2016-04-29,90.5,90.559998,88.209999,90.029999,13968000,90.029999,NFLX
2016-05-02,90.410004,93.220001,89.889999,93.110001,12547000,93.110001,NFLX
2016-05-03,92.080002,93.25,91.300003,91.540001,10593900,91.540001,NFLX
2016-05-04,91.0,92.160004,90.349998,90.790001,7394700,90.790001,NFLX
2016-05-05,90.910004,92.080002,89.25,89.370003,10368500,89.370003,NFLX
2016-05-06,88.830002,90.879997,88.110001,90.839996,10427600,90.839996,NFLX
2016-05-09,90.730003,91.830002,89.900002,90.540001,9543700,90.540001,NFLX
2016-05-10,91.139999,93.25,91.089996,92.889999,11175900,92.889999,NFLX
2016-05-11,92.400002,92.589996,89.900002,90.019997,11692900,90.019997,NFLX
2016-05-12,90.32,90.410004,85.739998,87.739998,20408100,87.739998,NFLX
2016-05-13,87.389999,88.589996,86.260002,87.879997,11571400,87.879997,NFLX
2016-05-16,87.559998,90.0,86.150002,89.120003,11247800,89.120003,NFLX
2016-05-17,89.0,90.870003,88.169998,88.629997,11571300,88.629997,NFLX
2016-05-18,88.25,91.720001,88.25,90.5,13911800,90.5,NFLX
2016-05-19,90.160004,91.269997,88.300003,89.550003,11450300,89.550003,NFLX
2016-05-20,90.080002,93.279999,89.980003,92.489998,15063000,92.489998,NFLX
2016-05-23,92.980003,95.290001,92.849998,94.889999,13992300,94.889999,NFLX
2016-05-24,95.980003,99.139999,95.75,97.889999,21246000,97.889999,NFLX
2016-05-25,99.0,100.309998,98.300003,100.199997,15142900,100.199997,NFLX
2016-05-26,103.209999,104.0,101.379997,102.809998,17824700,102.809998,NFLX
2016-05-27,102.440002,103.5,101.440002,103.300003,9078300,103.300003,NFLX
2016-05-31,102.949997,103.449997,102.129997,102.57,8725700,102.57,NFLX
2016-06-01,101.5,101.919998,100.160004,101.510002,8393400,101.510002,NFLX
2016-06-02,101.389999,102.150002,100.769997,101.25,7992400,101.25,NFLX
2016-06-03,100.989998,101.0,98.529999,99.589996,9224000,99.589996,NFLX
2016-06-06,100.290001,101.07,99.720001,100.739998,6828100,100.739998,NFLX
2016-06-07,101.199997,101.629997,99.769997,99.889999,6474700,99.889999,NFLX
2016-06-08,100.019997,100.279999,97.599998,97.860001,9423900,97.860001,NFLX
2016-06-09,97.220001,98.43,96.660004,97.089996,8923800,97.089996,NFLX
2016-06-10,94.879997,95.349998,93.279999,93.75,12907900,93.75,NFLX
2016-06-13,95.019997,97.199997,93.620003,93.849998,13484300,93.849998,NFLX
2016-06-14,94.160004,95.800003,93.269997,94.120003,9480400,94.120003,NFLX
2016-06-15,94.610001,95.459999,93.5,94.290001,7675400,94.290001,NFLX
2016-06-16,94.18,95.559998,93.25,95.440002,7550800,95.440002,NFLX
2016-06-17,95.75,95.769997,94.199997,94.449997,8046800,94.449997,NFLX
2016-06-20,95.220001,95.879997,93.650002,93.800003,9026400,93.800003,NFLX
2016-06-21,93.870003,93.879997,90.769997,90.989998,15199700,90.989998,NFLX
2016-06-22,90.779999,91.980003,89.769997,90.010002,9454700,90.010002,NFLX
2016-06-23,90.620003,91.68,88.150002,91.660004,10819000,91.660004,NFLX
2016-06-24,87.529999,90.489998,87.209999,88.440002,11248600,88.440002,NFLX
2016-06-27,87.879997,88.0,84.809998,85.330002,13730500,85.330002,NFLX
2016-06-28,87.410004,88.879997,86.410004,87.970001,11545600,87.970001,NFLX
2016-06-29,89.669998,91.970001,88.699997,91.059998,11687100,91.059998,NFLX
2016-06-30,90.910004,91.720001,89.900002,91.480003,9099000,91.480003,NFLX
2016-07-01,95.0,97.0,94.800003,96.669998,16167200,96.669998,NFLX
2016-07-05,95.199997,101.269997,93.309998,97.910004,25879400,97.910004,NFLX
2016-07-06,95.029999,96.0,93.550003,94.599998,16301200,94.599998,NFLX
2016-07-07,94.699997,95.379997,93.18,95.099998,9913500,95.099998,NFLX
2016-07-08,96.0,97.410004,95.300003,97.059998,8335400,97.059998,NFLX
2016-07-11,96.190002,96.870003,94.300003,94.669998,13276200,94.669998,NFLX
2016-07-12,95.07,96.720001,94.089996,95.970001,11617400,95.970001,NFLX
2016-07-13,96.260002,96.720001,94.800003,96.43,8768900,96.43,NFLX
2016-07-14,97.0,98.269997,96.800003,98.019997,9885000,98.019997,NFLX
2016-07-15,98.519997,98.699997,97.410004,98.389999,9041900,98.389999,NFLX
2016-07-18,98.43,99.839996,97.239998,98.809998,28669700,98.809998,NFLX
2016-07-19,85.43,86.75,84.5,85.839996,55681200,85.839996,NFLX
2016-07-20,86.669998,88.489998,85.82,87.910004,23525100,87.910004,NFLX
2016-07-21,88.300003,88.379997,85.209999,85.989998,16084000,85.989998,NFLX
2016-07-22,86.480003,86.5,85.110001,85.889999,11363900,85.889999,NFLX
2016-07-25,85.730003,87.870003,85.010002,87.660004,14135000,87.660004,NFLX
2016-07-26,91.029999,93.099998,90.900002,91.410004,19577600,91.410004,NFLX
2016-07-27,91.5,92.059998,90.099998,92.040001,8727500,92.040001,NFLX
2016-07-28,91.919998,92.209999,90.68,91.650002,6227700,91.650002,NFLX
2016-07-29,91.190002,91.75,90.589996,91.25,6960200,91.25,NFLX
2016-08-01,91.230003,94.669998,90.5,94.370003,10666900,94.370003,NFLX
2016-08-02,94.0,94.080002,92.18,93.559998,9836200,93.559998,NFLX
2016-08-03,93.279999,94.669998,92.550003,93.099998,7030900,93.099998,NFLX
2016-08-04,93.199997,93.730003,91.82,93.440002,6043400,93.440002,NFLX
2016-08-05,93.769997,97.739998,93.559998,97.029999,18364800,97.029999,NFLX
2016-08-08,95.910004,95.93,94.0,95.110001,10135400,95.110001,NFLX
2016-08-09,95.120003,95.809998,93.480003,93.989998,9175400,93.989998,NFLX
2016-08-10,94.400002,94.75,92.949997,93.93,6511100,93.93,NFLX
2016-08-11,94.599998,96.330002,94.370003,95.889999,8547700,95.889999,NFLX
2016-08-12,95.529999,96.830002,95.080002,96.589996,6592900,96.589996,NFLX
2016-08-15,96.830002,96.910004,95.239998,95.309998,7304600,95.309998,NFLX
2016-08-16,95.190002,95.610001,94.400002,95.120003,6311300,95.120003,NFLX
2016-08-17,94.940002,96.93,94.849998,96.370003,8315600,96.370003,NFLX
2016-08-18,95.980003,97.220001,95.169998,96.160004,7252600,96.160004,NFLX
2016-08-19,96.050003,96.779999,95.510002,95.870003,6942900,95.870003,NFLX
2016-08-22,95.669998,96.129997,94.949997,95.260002,5830500,95.260002,NFLX
2016-08-23,95.68,96.589996,95.480003,95.940002,5239100,95.940002,NFLX
2016-08-24,96.129997,96.360001,94.910004,95.18,6276500,95.18,NFLX
2016-08-25,96.379997,98.25,96.040001,97.32,10823100,97.32,NFLX
2016-08-26,97.330002,97.949997,96.57,97.580002,6617600,97.580002,NFLX
2016-08-29,96.970001,98.449997,96.57,97.300003,8008400,97.300003,NFLX
2016-08-30,97.839996,98.849998,97.139999,97.449997,6093500,97.449997,NFLX
2016-08-31,97.480003,97.879997,96.760002,97.449997,4690600,97.449997,NFLX
2016-09-01,97.809998,97.980003,96.919998,97.379997,4148600,97.379997,NFLX
2016-09-02,97.900002,98.18,97.010002,97.379997,4247200,97.379997,NFLX
2016-09-06,97.760002,100.32,97.650002,100.089996,9036100,100.089996,NFLX
2016-09-07,100.110001,100.190002,98.419998,99.150002,6468500,99.150002,NFLX
2016-09-08,99.230003,100.050003,98.82,99.660004,5201200,99.660004,NFLX
2016-09-09,99.059998,99.389999,96.5,96.5,7373300,96.5,NFLX
2016-09-12,95.910004,99.290001,95.709999,99.050003,7718400,99.050003,NFLX
2016-09-13,97.169998,98.0,95.330002,96.089996,11788100,96.089996,NFLX
2016-09-14,97.349998,98.349998,96.959999,97.010002,8481000,97.010002,NFLX
2016-09-15,97.230003,97.970001,96.529999,97.339996,5293500,97.339996,NFLX
2016-09-16,97.099998,99.489998,97.040001,99.480003,9445100,99.480003,NFLX
2016-09-19,99.900002,100.349998,97.82,98.059998,8616200,98.059998,NFLX
2016-09-20,98.779999,99.160004,97.660004,98.25,4736800,98.25,NFLX
2016-09-21,96.900002,97.099998,93.260002,94.879997,20042200,94.879997,NFLX
2016-09-22,95.540001,95.879997,94.230003,95.830002,11215000,95.830002,NFLX
2016-09-23,95.75,96.970001,95.43,95.940002,6179500,95.940002,NFLX
2016-09-26,95.379997,95.379997,94.040001,94.559998,6739200,94.559998,NFLX
2016-09-27,95.040001,97.639999,95.0,97.07,9680100,97.07,NFLX
2016-09-28,97.099998,97.589996,96.019997,97.480003,7235100,97.480003,NFLX
2016-09-29,97.309998,98.309998,96.599998,96.669998,6217600,96.669998,NFLX
2016-09-30,96.900002,99.529999,96.790001,98.550003,9807900,98.550003,NFLX
2016-10-03,98.0,103.389999,98.0,102.629997,15344500,102.629997,NFLX
2016-10-04,103.190002,104.440002,101.860001,102.339996,12143100,102.339996,NFLX
2016-10-05,103.5,106.970001,103.43,106.279999,12942900,106.279999,NFLX
2016-10-06,104.970001,105.470001,103.879997,105.07,6587700,105.07,NFLX
2016-10-07,103.980003,106.5,103.550003,104.82,8659500,104.82,NFLX
2016-10-10,103.18,104.529999,102.760002,103.330002,6699700,103.330002,NFLX
2016-10-11,102.309998,102.900002,99.860001,100.589996,9032900,100.589996,NFLX
2016-10-12,100.879997,102.470001,99.220001,99.5,7426500,99.5,NFLX
2016-10-13,98.010002,100.5,97.629997,100.230003,8319300,100.230003,NFLX
2016-10-14,101.589996,102.099998,100.349998,101.470001,9531100,101.470001,NFLX
2016-10-17,100.5,100.730003,98.379997,99.800003,26589500,99.800003,NFLX
2016-10-18,116.629997,119.82,116.5,118.790001,42168200,118.790001,NFLX
2016-10-19,118.25,122.449997,118.0,121.870003,21981700,121.870003,NFLX
2016-10-20,121.970001,123.75,121.059998,123.349998,14492800,123.349998,NFLX
2016-10-21,122.5,127.849998,122.309998,127.5,18832400,127.5,NFLX
2016-10-24,127.419998,129.289993,126.150002,127.330002,15980700,127.330002,NFLX
2016-10-25,126.519997,128.059998,125.75,126.510002,8253900,126.510002,NFLX
2016-10-26,126.290001,128.720001,125.75,126.970001,8602400,126.970001,NFLX
2016-10-27,127.43,128.179993,125.93,126.470001,6914200,126.470001,NFLX
2016-10-28,126.080002,128.929993,126.010002,126.57,7077300,126.57,NFLX
2016-10-31,126.849998,126.900002,124.400002,124.870003,6517500,124.870003,NFLX
2016-11-01,124.980003,125.830002,121.800003,123.300003,6978600,123.300003,NFLX
2016-11-02,122.830002,124.07,121.830002,122.339996,4816500,122.339996,NFLX
2016-11-03,122.309998,123.720001,121.839996,122.139999,5041300,122.139999,NFLX
2016-11-04,122.0,123.43,121.620003,122.029999,5077700,122.029999,NFLX
2016-11-07,124.260002,125.75,123.370003,124.580002,5827100,124.580002,NFLX
2016-11-08,124.120003,125.809998,123.220001,124.339996,4667300,124.339996,NFLX
2016-11-09,121.839996,123.650002,120.860001,122.190002,7705700,122.190002,NFLX
2016-11-10,122.760002,122.970001,113.699997,115.419998,19718700,115.419998,NFLX
2016-11-11,114.900002,116.629997,113.110001,114.779999,11070900,114.779999,NFLX
2016-11-14,114.75,115.900002,110.68,113.379997,9932400,113.379997,NFLX
2016-11-15,114.550003,116.410004,113.089996,113.589996,7445100,113.589996,NFLX
2016-11-16,112.959999,116.120003,111.809998,115.190002,5933700,115.190002,NFLX
2016-11-17,115.129997,116.809998,113.559998,115.029999,6232700,115.029999,NFLX
2016-11-18,115.730003,116.419998,113.510002,115.209999,6746800,115.209999,NFLX
2016-11-21,116.199997,118.720001,116.190002,117.959999,7064500,117.959999,NFLX
2016-11-22,118.32,119.459999,116.980003,118.040001,7007200,118.040001,NFLX
2016-11-23,117.760002,118.889999,117.309998,117.690002,4521300,117.690002,NFLX
2016-11-25,117.639999,118.389999,117.18,117.410004,1616300,117.410004,NFLX
2016-11-28,117.050003,117.620003,115.709999,116.93,5278900,116.93,NFLX
2016-11-29,117.300003,119.18,117.129997,117.510002,7082300,117.510002,NFLX
2016-11-30,119.0,120.370003,116.389999,117.0,7715100,117.0,NFLX
2016-12-01,117.519997,118.68,113.949997,117.220001,8636900,117.220001,NFLX
2016-12-02,116.75,120.980003,116.75,120.809998,8928900,120.809998,NFLX
2016-12-05,120.730003,120.75,118.400002,119.160004,7614400,119.160004,NFLX
2016-12-06,120.099998,124.790001,119.419998,124.57,11476600,124.57,NFLX
2016-12-07,124.480003,125.75,123.25,125.389999,8170100,125.389999,NFLX
2016-12-08,125.400002,126.349998,122.160004,123.239998,8982500,123.239998,NFLX
